wine_name,username,rating,variants_number,wine_type,brand,wine_link,review_link
Вино Artwine Rkatsiteli Qvevri  Артвайн Ркацители Квеври,VinofanChief,7,10,белое сухое,Askaneli Brothers / Братья Асканели,https://vinofan.ru/winecatalogue/region_kakheti/wine_artwine-rkatsiteli-qvevri/,
Вино Cherny Polkovnik  Черный Полковник,Goha,8,10,красное крепкое,Sun Valley / Солнечная Долина,https://vinofan.ru/winecatalogue/region_crimea/wine_cherniy-polkovnik/,
Вино Mondoro Asti  Мондоро Асти,Goha,9,10,белое сладкое,Davide Campari - Milano / Давиде Кампари - Милано,https://vinofan.ru/winecatalogue/region_asti/wine_mondoro-asti/,
Вино Riesling Chateau Tamagne Reserve  Рислинг Шато Тамань Резерв,VinofanChief,7,10,белое сухое,Kuban-Vino / Кубань-Вино,https://vinofan.ru/winecatalogue/region_krasnodarsky/wine_riesling-chateau-tamagne-reserve/,
Вино Astrale Bianco  Астрале Белое,VinofanChief,7,10,белое сухое,Piccini / Пиччини,https://vinofan.ru/winecatalogue/region_sicilia/wine_astrale-bianco/,
Вино Lirico Bobal - Grenache  Лирико Бобаль - Гренаш,VinofanChief,6,10,розовое сухое,Vicente Gandia / Висенте Гандия,https://vinofan.ru/winecatalogue/region_valencia/wine_lirico-bobal-grenache/,
Вино Campo Viejo Reserva  Кампо Вьехо Резерва,Andre,8,10,красное сухое,Campo Viejo / Кампо Вьехо,https://vinofan.ru/winecatalogue/region_rioja/wine_campo-viejo-reserva/,
Вино Waltraud  Вальтрауд,VinofanChief,8,10,белое полусухое,Torres / Торрес,https://vinofan.ru/winecatalogue/region_penedes/wine_waltraud/,
Вино Corvo Rosso  Корво Россо,VinofanChief,7,10,красное сухое,Duca di Salaparuta / Дука ди Салапарута,https://vinofan.ru/winecatalogue/region_sicilia/wine_corvo_rosso/,
Вино Oro dei Sani Chianti Classico  Оро дей Сани Кьянти Классико,VinofanChief,6,10,красное сухое,Le Chiantigiane / Ле Кьянтиджане,https://vinofan.ru/winecatalogue/region_chianti_classico/wine_oro-dei-sani-chianti-classico/,
Вино Heritage Gurdgi po-kakhetinsky  Эритаж Гурджи по-кахетински,VinofanChief,5,10,белое сухое,Inkerman / Инкерманский завод марочных вин,https://vinofan.ru/winecatalogue/region_crimea/wine_heritage-gurdgi-po-kakhetinsky/,
Вино Aristov Ancellotta  Аристов Анчелотта,VinofanChief,7,10,красное сухое,Kuban-Vino / Кубань-Вино,https://vinofan.ru/winecatalogue/region_krasnodarsky/wine_aristov-ancellotta/,
Вино Chateau Tamagne Reserve Extra Brut  Шато Тамань Резерв Экстра Брют,VinofanChief,6,10,белое экстра брют,Kuban-Vino / Кубань-Вино,https://vinofan.ru/winecatalogue/region_krasnodarsky/wine_chateau-tamagne-reserve-extra-brut/,
Вино Imperial Vintage  Империал Винтаж,VinofanChief,6,10,белое брют,Abrau-Durso / Абрау-Дюрсо,https://vinofan.ru/winecatalogue/region_krasnodarsky/wine_imperial-vintage/,
Вино Arte Latino Cava Brut  Арте Латино Кава Брют,VinofanChief,7,10,белое брют,J Garcia Carrion / Гарсия Каррьон,https://vinofan.ru/winecatalogue/region_catalunya/wine_arte-latino-cava-brut/,
Вино Aristov Pinot Bianco  Аристов Пино Бьянко,VinofanChief,6,10,белое сухое,Kuban-Vino / Кубань-Вино,https://vinofan.ru/winecatalogue/region_krasnodarsky/wine_aristov-pinot-bianco/,
Вино Canti Prosecco  Канти Просекко,VinofanChief,6,10,белое сухое,Canti Family / Канти Фэмили,https://vinofan.ru/winecatalogue/region_veneto/wine_canto-prosecco/,
Вино Aristov Brut Rose  Аристов Брют Розовое,VinofanChief,7,10,розовое брют,Kuban-Vino / Кубань-Вино,https://vinofan.ru/winecatalogue/region_krasnodarsky/wine_aristov-rose-brut/,
Вино Oro dei Sani Chianti Riserva  Оро дей Сани Кьянти Ризерва,VinofanChief,7,10,красное сухое,Le Chiantigiane / Ле Кьянтиджане,https://vinofan.ru/winecatalogue/region_chianti/wine_oro-dei-sani-chianti-riserva/,
Вино Morande Cabernet Sauvignon Gran Reserva  Моранде Каберне Совиньон Гран Резерва,AlexV,9,10,красное сухое,Vina Morande / Винья Моранде,https://vinofan.ru/winecatalogue/region_maipo_valley/wine_morande-cabernet-sauvignon-gran-reserva/,
Вино Artwine Rkatsiteli Qvevri  Артвайн Ркацители Квеври,VinofanChief,7,10,белое сухое,Askaneli Brothers / Братья Асканели,https://vinofan.ru/winecatalogue/region_kakheti/wine_artwine-rkatsiteli-qvevri/,
Вино Cherny Polkovnik  Черный Полковник,Goha,8,10,красное крепкое,Sun Valley / Солнечная Долина,https://vinofan.ru/winecatalogue/region_crimea/wine_cherniy-polkovnik/,
Вино Mondoro Asti  Мондоро Асти,Goha,9,10,белое сладкое,Davide Campari - Milano / Давиде Кампари - Милано,https://vinofan.ru/winecatalogue/region_asti/wine_mondoro-asti/,
Вино Riesling Chateau Tamagne Reserve  Рислинг Шато Тамань Резерв,VinofanChief,7,10,белое сухое,Kuban-Vino / Кубань-Вино,https://vinofan.ru/winecatalogue/region_krasnodarsky/wine_riesling-chateau-tamagne-reserve/,
Вино Astrale Bianco  Астрале Белое,VinofanChief,7,10,белое сухое,Piccini / Пиччини,https://vinofan.ru/winecatalogue/region_sicilia/wine_astrale-bianco/,
Вино Lirico Bobal - Grenache  Лирико Бобаль - Гренаш,VinofanChief,6,10,розовое сухое,Vicente Gandia / Висенте Гандия,https://vinofan.ru/winecatalogue/region_valencia/wine_lirico-bobal-grenache/,
Вино Campo Viejo Reserva  Кампо Вьехо Резерва,Andre,8,10,красное сухое,Campo Viejo / Кампо Вьехо,https://vinofan.ru/winecatalogue/region_rioja/wine_campo-viejo-reserva/,
Вино Waltraud  Вальтрауд,VinofanChief,8,10,белое полусухое,Torres / Торрес,https://vinofan.ru/winecatalogue/region_penedes/wine_waltraud/,
Вино Corvo Rosso  Корво Россо,VinofanChief,7,10,красное сухое,Duca di Salaparuta / Дука ди Салапарута,https://vinofan.ru/winecatalogue/region_sicilia/wine_corvo_rosso/,
Вино Oro dei Sani Chianti Classico  Оро дей Сани Кьянти Классико,VinofanChief,6,10,красное сухое,Le Chiantigiane / Ле Кьянтиджане,https://vinofan.ru/winecatalogue/region_chianti_classico/wine_oro-dei-sani-chianti-classico/,
Вино Heritage Gurdgi po-kakhetinsky  Эритаж Гурджи по-кахетински,VinofanChief,5,10,белое сухое,Inkerman / Инкерманский завод марочных вин,https://vinofan.ru/winecatalogue/region_crimea/wine_heritage-gurdgi-po-kakhetinsky/,
Вино Aristov Ancellotta  Аристов Анчелотта,VinofanChief,7,10,красное сухое,Kuban-Vino / Кубань-Вино,https://vinofan.ru/winecatalogue/region_krasnodarsky/wine_aristov-ancellotta/,
Вино Chateau Tamagne Reserve Extra Brut  Шато Тамань Резерв Экстра Брют,VinofanChief,6,10,белое экстра брют,Kuban-Vino / Кубань-Вино,https://vinofan.ru/winecatalogue/region_krasnodarsky/wine_chateau-tamagne-reserve-extra-brut/,
Вино Imperial Vintage  Империал Винтаж,VinofanChief,6,10,белое брют,Abrau-Durso / Абрау-Дюрсо,https://vinofan.ru/winecatalogue/region_krasnodarsky/wine_imperial-vintage/,
Вино Arte Latino Cava Brut  Арте Латино Кава Брют,VinofanChief,7,10,белое брют,J Garcia Carrion / Гарсия Каррьон,https://vinofan.ru/winecatalogue/region_catalunya/wine_arte-latino-cava-brut/,
Вино Aristov Pinot Bianco  Аристов Пино Бьянко,VinofanChief,6,10,белое сухое,Kuban-Vino / Кубань-Вино,https://vinofan.ru/winecatalogue/region_krasnodarsky/wine_aristov-pinot-bianco/,
Вино Canti Prosecco  Канти Просекко,VinofanChief,6,10,белое сухое,Canti Family / Канти Фэмили,https://vinofan.ru/winecatalogue/region_veneto/wine_canto-prosecco/,
Вино Aristov Brut Rose  Аристов Брют Розовое,VinofanChief,7,10,розовое брют,Kuban-Vino / Кубань-Вино,https://vinofan.ru/winecatalogue/region_krasnodarsky/wine_aristov-rose-brut/,
Вино Oro dei Sani Chianti Riserva  Оро дей Сани Кьянти Ризерва,VinofanChief,7,10,красное сухое,Le Chiantigiane / Ле Кьянтиджане,https://vinofan.ru/winecatalogue/region_chianti/wine_oro-dei-sani-chianti-riserva/,
Вино Morande Cabernet Sauvignon Gran Reserva  Моранде Каберне Совиньон Гран Резерва,AlexV,9,10,красное сухое,Vina Morande / Винья Моранде,https://vinofan.ru/winecatalogue/region_maipo_valley/wine_morande-cabernet-sauvignon-gran-reserva/,
Вино Artwine Rkatsiteli Qvevri  Артвайн Ркацители Квеври,VinofanChief,7,10,белое сухое,Askaneli Brothers / Братья Асканели,https://vinofan.ru/winecatalogue/region_kakheti/wine_artwine-rkatsiteli-qvevri/,
Вино Cherny Polkovnik  Черный Полковник,Goha,8,10,красное крепкое,Sun Valley / Солнечная Долина,https://vinofan.ru/winecatalogue/region_crimea/wine_cherniy-polkovnik/,
Вино Mondoro Asti  Мондоро Асти,Goha,9,10,белое сладкое,Davide Campari - Milano / Давиде Кампари - Милано,https://vinofan.ru/winecatalogue/region_asti/wine_mondoro-asti/,
Вино Riesling Chateau Tamagne Reserve  Рислинг Шато Тамань Резерв,VinofanChief,7,10,белое сухое,Kuban-Vino / Кубань-Вино,https://vinofan.ru/winecatalogue/region_krasnodarsky/wine_riesling-chateau-tamagne-reserve/,
Вино Astrale Bianco  Астрале Белое,VinofanChief,7,10,белое сухое,Piccini / Пиччини,https://vinofan.ru/winecatalogue/region_sicilia/wine_astrale-bianco/,
Вино Lirico Bobal - Grenache  Лирико Бобаль - Гренаш,VinofanChief,6,10,розовое сухое,Vicente Gandia / Висенте Гандия,https://vinofan.ru/winecatalogue/region_valencia/wine_lirico-bobal-grenache/,
Вино Campo Viejo Reserva  Кампо Вьехо Резерва,Andre,8,10,красное сухое,Campo Viejo / Кампо Вьехо,https://vinofan.ru/winecatalogue/region_rioja/wine_campo-viejo-reserva/,
Вино Waltraud  Вальтрауд,VinofanChief,8,10,белое полусухое,Torres / Торрес,https://vinofan.ru/winecatalogue/region_penedes/wine_waltraud/,
Вино Corvo Rosso  Корво Россо,VinofanChief,7,10,красное сухое,Duca di Salaparuta / Дука ди Салапарута,https://vinofan.ru/winecatalogue/region_sicilia/wine_corvo_rosso/,
Вино Oro dei Sani Chianti Classico  Оро дей Сани Кьянти Классико,VinofanChief,6,10,красное сухое,Le Chiantigiane / Ле Кьянтиджане,https://vinofan.ru/winecatalogue/region_chianti_classico/wine_oro-dei-sani-chianti-classico/,
Вино Heritage Gurdgi po-kakhetinsky  Эритаж Гурджи по-кахетински,VinofanChief,5,10,белое сухое,Inkerman / Инкерманский завод марочных вин,https://vinofan.ru/winecatalogue/region_crimea/wine_heritage-gurdgi-po-kakhetinsky/,
Вино Aristov Ancellotta  Аристов Анчелотта,VinofanChief,7,10,красное сухое,Kuban-Vino / Кубань-Вино,https://vinofan.ru/winecatalogue/region_krasnodarsky/wine_aristov-ancellotta/,
Вино Chateau Tamagne Reserve Extra Brut  Шато Тамань Резерв Экстра Брют,VinofanChief,6,10,белое экстра брют,Kuban-Vino / Кубань-Вино,https://vinofan.ru/winecatalogue/region_krasnodarsky/wine_chateau-tamagne-reserve-extra-brut/,
Вино Imperial Vintage  Империал Винтаж,VinofanChief,6,10,белое брют,Abrau-Durso / Абрау-Дюрсо,https://vinofan.ru/winecatalogue/region_krasnodarsky/wine_imperial-vintage/,
Вино Arte Latino Cava Brut  Арте Латино Кава Брют,VinofanChief,7,10,белое брют,J Garcia Carrion / Гарсия Каррьон,https://vinofan.ru/winecatalogue/region_catalunya/wine_arte-latino-cava-brut/,
Вино Aristov Pinot Bianco  Аристов Пино Бьянко,VinofanChief,6,10,белое сухое,Kuban-Vino / Кубань-Вино,https://vinofan.ru/winecatalogue/region_krasnodarsky/wine_aristov-pinot-bianco/,
Вино Canti Prosecco  Канти Просекко,VinofanChief,6,10,белое сухое,Canti Family / Канти Фэмили,https://vinofan.ru/winecatalogue/region_veneto/wine_canto-prosecco/,
Вино Aristov Brut Rose  Аристов Брют Розовое,VinofanChief,7,10,розовое брют,Kuban-Vino / Кубань-Вино,https://vinofan.ru/winecatalogue/region_krasnodarsky/wine_aristov-rose-brut/,
Вино Oro dei Sani Chianti Riserva  Оро дей Сани Кьянти Ризерва,VinofanChief,7,10,красное сухое,Le Chiantigiane / Ле Кьянтиджане,https://vinofan.ru/winecatalogue/region_chianti/wine_oro-dei-sani-chianti-riserva/,
Вино Morande Cabernet Sauvignon Gran Reserva  Моранде Каберне Совиньон Гран Резерва,AlexV,9,10,красное сухое,Vina Morande / Винья Моранде,https://vinofan.ru/winecatalogue/region_maipo_valley/wine_morande-cabernet-sauvignon-gran-reserva/,
